Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection
sales manager,entertainment,large,paris,low,low,communication,118957.22872153488,yes,decline
hr manager,telecommunications,medium,san francisco,high,high,marketing,67257.17238927555,no,stable
ai researcher,energy,medium,san francisco,low,high,machine learning,71211.88432398967,no,growth
product manager,education,medium,berlin,low,low,machine learning,90427.64422209412,yes,decline
hr manager,energy,small,new york,high,medium,python,97554.55324643273,yes,stable
data scientist,manufacturing,medium,london,medium,high,communication,112457.27907467616,no,decline
hr manager,energy,medium,singapore,low,low,sales,100350.87551624542,yes,decline
sales manager,telecommunications,medium,toronto,high,high,ux/ui design,86971.73539779433,yes,growth
hr manager,retail,large,toronto,low,low,ux/ui design,98329.2288951228,yes,stable
data scientist,telecommunications,large,berlin,low,medium,cybersecurity,96020.88952548904,yes,growth
sales manager,energy,small,san francisco,medium,high,machine learning,124900.32859975575,no,growth
ux designer,telecommunications,small,berlin,low,low,python,93313.17887137063,no,decline
cybersecurity analyst,healthcare,large,sydney,high,high,ux/ui design,82338.33172894873,no,growth
cybersecurity analyst,manufacturing,large,london,low,high,python,98992.1806014366,no,stable
operations manager,entertainment,large,new york,medium,high,cybersecurity,93969.70638677065,yes,growth
ux designer,retail,medium,dubai,medium,high,machine learning,58580.13288650656,yes,growth
ux designer,education,medium,tokyo,high,low,project management,89686.95876755661,no,growth
hr manager,technology,large,tokyo,medium,medium,marketing,87985.23509187989,no,decline
cybersecurity analyst,entertainment,medium,berlin,low,low,marketing,79122.56268441367,yes,stable
data scientist,technology,medium,sydney,medium,low,ux/ui design,110711.66575245943,no,decline
marketing specialist,manufacturing,small,london,high,low,marketing,74286.40806776009,no,decline
marketing specialist,retail,large,singapore,medium,medium,project management,99112.37239049075,yes,decline
sales manager,finance,large,tokyo,medium,high,python,87042.86000312539,no,decline
cybersecurity analyst,education,medium,london,medium,high,cybersecurity,92153.90011293563,yes,decline
cybersecurity analyst,healthcare,large,new york,high,high,project management,98235.72582091736,yes,stable
marketing specialist,finance,small,paris,medium,medium,cybersecurity,63848.51232217997,no,growth
cybersecurity analyst,manufacturing,small,sydney,medium,high,cybersecurity,93833.21783469566,yes,decline
hr manager,entertainment,small,san francisco,low,medium,machine learning,135778.94979426413,no,decline
product manager,healthcare,large,london,high,high,python,58864.73308242552,yes,stable
software engineer,telecommunications,large,new york,medium,high,communication,88847.84072568991,no,stable
ux designer,energy,large,singapore,high,low,marketing,112464.7864964764,no,growth
operations manager,healthcare,large,dubai,medium,medium,communication,96032.38495907192,no,stable
sales manager,manufacturing,large,san francisco,medium,low,machine learning,103759.33904232067,yes,growth
product manager,transportation,small,dubai,medium,low,cybersecurity,42486.67977814768,yes,decline
marketing specialist,energy,medium,singapore,low,low,ux/ui design,101964.987492599,no,decline
ux designer,technology,small,new york,low,medium,marketing,74766.23587532803,yes,growth
cybersecurity analyst,education,large,tokyo,low,medium,marketing,96197.54569166292,no,stable
operations manager,technology,small,dubai,high,high,python,89411.30538181018,no,growth
cybersecurity analyst,healthcare,large,san francisco,high,low,javascript,135566.66058323265,yes,stable
data scientist,technology,large,berlin,low,high,data analysis,100933.9064753175,no,decline
data scientist,manufacturing,small,toronto,high,low,data analysis,87747.52341474428,yes,stable
operations manager,telecommunications,large,london,medium,medium,data analysis,59806.144814928906,no,growth
operations manager,entertainment,medium,tokyo,medium,medium,javascript,92422.93803699792,yes,growth
marketing specialist,education,large,dubai,medium,medium,python,106464.57756693644,no,decline
operations manager,technology,medium,paris,low,low,javascript,88388.96216361554,no,stable
hr manager,technology,medium,london,high,medium,data analysis,79886.87280125119,yes,stable
cybersecurity analyst,healthcare,large,berlin,low,low,machine learning,78548.26672307363,no,stable
product manager,entertainment,small,singapore,high,high,project management,100702.8287091064,no,decline
ai researcher,finance,medium,toronto,medium,low,cybersecurity,105187.75878618314,yes,stable
operations manager,technology,small,new york,low,high,javascript,117224.20230642238,no,growth
sales manager,manufacturing,medium,berlin,high,low,python,70100.00213579283,yes,stable
data scientist,transportation,large,berlin,high,high,python,100519.55116835234,no,decline
hr manager,education,large,singapore,medium,medium,communication,87565.92091164265,yes,stable
ux designer,technology,medium,sydney,low,high,project management,88155.31590733438,no,stable
ai researcher,manufacturing,large,singapore,low,medium,ux/ui design,98036.51708068005,no,growth
product manager,manufacturing,medium,sydney,low,medium,marketing,98153.12507249897,no,stable
ai researcher,education,large,sydney,medium,high,data analysis,100575.36211583146,yes,growth
operations manager,finance,small,tokyo,low,low,ux/ui design,68850.5761560838,yes,growth
marketing specialist,manufacturing,large,tokyo,medium,low,communication,75003.77185667082,yes,decline
data scientist,transportation,small,san francisco,medium,low,data analysis,119717.36551035367,yes,growth
data scientist,manufacturing,large,dubai,medium,low,project management,85588.5506503832,no,growth
ux designer,manufacturing,small,dubai,high,low,communication,96120.28796035792,no,decline
marketing specialist,manufacturing,large,new york,low,medium,data analysis,111093.32624086372,yes,growth
cybersecurity analyst,telecommunications,small,dubai,low,low,project management,99268.86144721638,yes,decline
software engineer,telecommunications,medium,tokyo,medium,medium,sales,100930.45261944078,yes,stable
hr manager,finance,medium,san francisco,medium,medium,ux/ui design,107891.55358487512,no,decline
data scientist,technology,small,san francisco,low,medium,ux/ui design,47666.72478206,yes,growth
sales manager,manufacturing,large,sydney,medium,high,marketing,80200.99689678931,yes,decline
data scientist,entertainment,small,singapore,low,high,project management,99372.11592999184,no,growth
ai researcher,technology,large,new york,high,medium,javascript,117752.88614115314,no,stable
data scientist,finance,medium,sydney,medium,high,sales,91321.91119311546,yes,decline
data scientist,retail,large,singapore,low,low,machine learning,73105.67076487809,no,stable
software engineer,technology,medium,dubai,medium,low,data analysis,73638.27900778996,yes,growth
software engineer,technology,large,sydney,low,medium,sales,107677.22406906149,no,growth
product manager,energy,large,london,low,low,project management,85644.52835216226,yes,stable
cybersecurity analyst,healthcare,large,dubai,medium,medium,cybersecurity,89855.99908419327,yes,decline
sales manager,energy,small,singapore,high,medium,data analysis,102300.60387544638,yes,decline
data scientist,transportation,small,new york,low,low,python,31969.52634612842,yes,growth
data scientist,telecommunications,medium,singapore,low,high,ux/ui design,130007.35023016162,no,stable
hr manager,telecommunications,medium,sydney,low,low,project management,75378.52329897878,no,stable
software engineer,healthcare,small,sydney,high,low,python,94838.72738947145,no,decline
sales manager,education,medium,berlin,high,medium,marketing,55906.05973007458,no,decline
ux designer,education,small,new york,medium,medium,communication,81549.17779189924,yes,decline
product manager,finance,large,paris,high,medium,machine learning,114893.76092730192,yes,stable
cybersecurity analyst,healthcare,medium,dubai,medium,medium,machine learning,51676.65640668242,no,decline
marketing specialist,technology,medium,san francisco,medium,high,python,112524.00174378282,no,decline
cybersecurity analyst,education,small,new york,high,high,ux/ui design,84526.07807535231,no,growth
ai researcher,manufacturing,medium,san francisco,medium,high,marketing,99743.28880440384,no,decline
data scientist,entertainment,medium,new york,high,medium,cybersecurity,103150.4882697022,no,decline
product manager,technology,large,new york,medium,medium,ux/ui design,98828.42998981853,yes,stable
ai researcher,transportation,medium,singapore,high,medium,sales,72700.98696738348,yes,stable
sales manager,manufacturing,large,new york,high,high,machine learning,82709.01706929953,yes,growth
marketing specialist,manufacturing,small,berlin,medium,medium,sales,60768.876454983685,no,decline
software engineer,healthcare,medium,paris,low,low,data analysis,99835.9266317616,no,growth
product manager,finance,large,sydney,medium,low,javascript,124041.10308031851,no,stable
product manager,transportation,small,toronto,high,medium,project management,53511.18226647075,no,growth
data scientist,education,medium,san francisco,low,low,marketing,74767.0818772393,yes,stable
operations manager,healthcare,small,sydney,medium,low,ux/ui design,86364.49448234134,yes,growth
product manager,education,medium,toronto,medium,high,machine learning,93466.82847427108,no,growth
hr manager,healthcare,small,paris,medium,medium,sales,107583.52602868852,yes,decline
marketing specialist,healthcare,small,paris,low,medium,communication,86956.00039284666,yes,growth
marketing specialist,healthcare,large,san francisco,high,high,data analysis,83680.825471087,no,decline
hr manager,finance,small,san francisco,medium,low,project management,112062.6141213948,no,decline
ux designer,healthcare,medium,paris,medium,low,project management,103239.91134126612,no,decline
hr manager,retail,medium,toronto,medium,medium,ux/ui design,100779.55951402197,no,decline
hr manager,entertainment,large,new york,medium,low,marketing,92250.31423176228,no,growth
marketing specialist,education,medium,dubai,medium,high,cybersecurity,109663.04421839718,no,stable
cybersecurity analyst,technology,medium,london,high,high,communication,76873.81217539468,yes,stable
marketing specialist,energy,medium,sydney,high,medium,ux/ui design,74146.11435627844,yes,stable
operations manager,transportation,small,singapore,medium,high,sales,104922.01973738648,no,growth
data scientist,telecommunications,small,sydney,low,high,javascript,57499.28061506184,yes,decline
ai researcher,finance,medium,singapore,high,medium,python,91843.59019272974,no,stable
cybersecurity analyst,technology,large,toronto,low,high,cybersecurity,83668.83295474976,no,growth
software engineer,manufacturing,small,singapore,high,high,marketing,61884.90538694088,no,decline
ai researcher,retail,large,san francisco,medium,high,data analysis,71374.64840567471,no,stable
data scientist,telecommunications,medium,dubai,high,low,cybersecurity,87820.47815409301,yes,decline
operations manager,energy,medium,dubai,medium,medium,machine learning,110679.26512998046,no,stable
operations manager,technology,small,san francisco,high,medium,marketing,76940.84017484378,yes,stable
software engineer,telecommunications,medium,berlin,medium,medium,javascript,114267.62799809988,no,stable
cybersecurity analyst,technology,small,toronto,medium,low,machine learning,91263.58455113032,no,decline
ux designer,retail,medium,berlin,medium,low,cybersecurity,116207.69404339942,no,growth
hr manager,energy,medium,berlin,medium,medium,python,77910.16782439903,yes,decline
cybersecurity analyst,manufacturing,small,sydney,low,low,python,89023.80823789263,no,stable
ux designer,healthcare,small,paris,medium,medium,javascript,97369.6720667399,no,decline
operations manager,education,small,sydney,low,low,project management,86409.79074516977,no,growth
marketing specialist,manufacturing,medium,paris,low,high,communication,109060.48294290472,yes,decline
data scientist,healthcare,medium,london,medium,high,data analysis,45848.72549419468,yes,growth
software engineer,finance,large,singapore,low,medium,project management,138448.1107757988,yes,growth
data scientist,entertainment,small,paris,high,low,python,107155.49213990325,no,decline
sales manager,transportation,medium,san francisco,medium,low,python,86529.36341929967,yes,stable
sales manager,transportation,medium,sydney,low,high,sales,78953.56652845311,no,growth
cybersecurity analyst,education,small,toronto,medium,high,machine learning,72671.58777102892,yes,decline
operations manager,energy,large,singapore,medium,low,cybersecurity,102912.30948339474,yes,growth
operations manager,retail,small,london,medium,low,data analysis,109899.63337584709,no,stable
hr manager,energy,large,paris,low,low,javascript,86749.477437402,yes,decline
hr manager,retail,medium,london,high,low,cybersecurity,112139.80825957004,no,decline
hr manager,energy,large,toronto,high,low,sales,71854.79906477756,no,decline
marketing specialist,entertainment,medium,berlin,low,low,python,68323.78300026328,yes,stable
ai researcher,finance,small,dubai,medium,medium,javascript,126266.82410491098,no,growth
product manager,finance,small,toronto,low,low,python,101822.17227077084,no,decline
ai researcher,healthcare,small,tokyo,low,high,data analysis,117936.96403626657,yes,growth
data scientist,telecommunications,large,toronto,low,medium,machine learning,72921.20583224614,yes,growth
ai researcher,finance,medium,london,medium,low,cybersecurity,71529.49216462541,no,stable
marketing specialist,finance,small,san francisco,low,high,cybersecurity,82827.81361084916,yes,decline
data scientist,manufacturing,small,sydney,medium,medium,project management,73518.82316921977,no,growth
ai researcher,manufacturing,medium,san francisco,low,high,javascript,104107.30420456902,no,decline
marketing specialist,healthcare,small,london,high,low,communication,74977.47886147109,yes,decline
product manager,telecommunications,medium,sydney,low,low,sales,66566.60283865419,yes,stable
ai researcher,education,medium,tokyo,low,low,communication,92840.30824510464,yes,decline
marketing specialist,manufacturing,medium,dubai,high,low,project management,64200.27648349573,yes,decline
hr manager,education,medium,singapore,medium,medium,data analysis,54010.72137049221,no,growth
operations manager,technology,medium,london,medium,medium,sales,92665.14467722556,no,stable
hr manager,manufacturing,large,paris,low,high,machine learning,55015.5991397958,yes,decline
operations manager,entertainment,small,london,high,low,communication,105505.58792590846,yes,growth
software engineer,telecommunications,large,london,medium,high,machine learning,62093.32547494408,no,stable
software engineer,healthcare,small,sydney,low,medium,communication,45186.52427160505,no,stable
software engineer,technology,large,new york,high,low,machine learning,84124.06699718411,no,growth
product manager,telecommunications,medium,toronto,medium,low,communication,92891.89006592968,no,growth
hr manager,entertainment,small,new york,medium,medium,machine learning,99829.50127363882,yes,growth
operations manager,telecommunications,small,tokyo,high,medium,project management,93440.31398031706,no,growth
marketing specialist,entertainment,large,paris,high,medium,marketing,68813.74757764515,no,growth
data scientist,entertainment,large,dubai,high,medium,sales,104261.22361853208,yes,decline
marketing specialist,education,small,berlin,high,medium,javascript,109202.77012959492,no,decline
data scientist,energy,large,tokyo,low,low,data analysis,65884.75743088922,no,stable
sales manager,technology,large,berlin,high,medium,ux/ui design,86379.87722680772,yes,decline
marketing specialist,telecommunications,large,berlin,medium,low,python,84511.1994578196,yes,decline
ai researcher,retail,medium,dubai,medium,low,javascript,94407.63165576068,yes,decline
ai researcher,technology,medium,san francisco,low,medium,python,85901.52416451782,no,growth
cybersecurity analyst,energy,large,new york,medium,medium,sales,88642.44455854046,no,stable
hr manager,technology,large,london,medium,low,javascript,102836.31060483382,yes,stable
data scientist,finance,medium,singapore,high,medium,machine learning,67722.93800797733,yes,stable
data scientist,retail,medium,berlin,medium,medium,machine learning,104747.46270521649,no,stable
hr manager,energy,small,paris,low,medium,ux/ui design,112822.65463062502,yes,decline
product manager,education,small,tokyo,high,high,python,122682.69986977737,yes,decline
cybersecurity analyst,telecommunications,medium,san francisco,high,low,data analysis,47132.65351725282,yes,growth
product manager,transportation,large,berlin,low,high,sales,86341.96685769563,no,stable
product manager,energy,large,san francisco,high,medium,machine learning,50697.98851292822,no,decline
product manager,healthcare,large,san francisco,high,high,marketing,41298.72620454353,no,decline
hr manager,telecommunications,large,berlin,low,medium,project management,92881.86095214955,no,growth
product manager,energy,small,sydney,high,high,project management,82016.96414299277,no,growth
ai researcher,finance,medium,toronto,low,medium,communication,95997.01903541492,no,growth
software engineer,transportation,large,paris,low,high,data analysis,99722.55380174633,yes,decline
sales manager,finance,small,london,medium,high,project management,114957.91916215842,no,decline
data scientist,transportation,large,london,medium,high,communication,91078.4085061156,no,growth
data scientist,healthcare,medium,paris,high,low,python,148467.11234638176,yes,stable
sales manager,telecommunications,small,sydney,high,high,machine learning,96128.19709970424,no,growth
hr manager,education,medium,london,low,low,machine learning,126849.58089134425,no,growth
marketing specialist,finance,medium,san francisco,high,medium,marketing,43343.24398951503,yes,growth
hr manager,finance,small,dubai,low,high,javascript,116994.7905910125,yes,growth
data scientist,entertainment,small,tokyo,low,medium,project management,86384.7902040888,yes,decline
data scientist,transportation,small,new york,high,medium,python,51033.05481145457,no,stable
sales manager,manufacturing,small,london,low,high,cybersecurity,98410.9021845624,yes,growth
product manager,telecommunications,small,paris,medium,low,project management,83940.88924031366,no,stable
hr manager,transportation,small,dubai,high,high,data analysis,101601.06496896283,no,stable
operations manager,entertainment,small,berlin,medium,medium,javascript,110221.52915102156,no,stable
sales manager,technology,large,toronto,high,medium,project management,60216.99766476808,no,growth
ai researcher,transportation,medium,paris,low,high,python,110298.37964910315,yes,decline
data scientist,education,small,san francisco,high,low,project management,90129.58968441431,yes,growth
sales manager,telecommunications,large,toronto,medium,low,data analysis,117056.82349386544,no,stable
hr manager,entertainment,large,tokyo,low,medium,cybersecurity,85897.03542004264,yes,stable
data scientist,technology,large,tokyo,high,medium,sales,80591.82214937158,no,decline
marketing specialist,retail,medium,sydney,high,low,ux/ui design,90541.08081377904,no,growth
sales manager,entertainment,small,singapore,high,high,cybersecurity,92037.21412759706,no,stable
cybersecurity analyst,retail,large,sydney,medium,medium,communication,76744.30397016529,yes,decline
data scientist,telecommunications,medium,dubai,medium,low,project management,80073.90538089433,no,stable
hr manager,finance,medium,toronto,high,medium,machine learning,65462.48930972422,no,decline
software engineer,entertainment,medium,singapore,low,high,marketing,81307.09820419611,yes,decline
operations manager,healthcare,large,berlin,low,low,machine learning,103526.20119995158,yes,growth
ux designer,retail,small,san francisco,medium,medium,cybersecurity,87252.91652187712,yes,stable
product manager,education,large,toronto,low,high,machine learning,110181.30592094656,yes,growth
ux designer,healthcare,large,sydney,medium,medium,python,86291.41064693853,no,stable
hr manager,energy,small,new york,high,high,machine learning,61369.64004553371,yes,growth
ai researcher,energy,small,singapore,medium,high,javascript,101945.49775113164,no,stable
ai researcher,technology,small,singapore,medium,low,sales,76527.53717933195,yes,growth
software engineer,finance,medium,san francisco,high,high,project management,85332.65422472931,yes,decline
product manager,telecommunications,small,london,low,medium,machine learning,114751.44094968236,yes,stable
cybersecurity analyst,entertainment,large,tokyo,medium,high,data analysis,66782.59080556972,yes,stable
software engineer,manufacturing,small,tokyo,medium,high,sales,93294.8757492877,yes,decline
ux designer,education,large,new york,high,low,sales,89189.63299928416,yes,growth
software engineer,retail,medium,dubai,low,high,machine learning,104018.51430874206,no,stable
ux designer,telecommunications,large,dubai,medium,high,sales,107103.06730964044,yes,stable
data scientist,healthcare,large,berlin,high,medium,marketing,95276.78008497784,yes,growth
ai researcher,energy,small,toronto,medium,low,machine learning,82792.507068392,yes,decline
data scientist,education,small,paris,high,low,python,99467.4500805192,yes,growth
operations manager,manufacturing,large,london,low,low,cybersecurity,116713.11794289124,no,growth
product manager,entertainment,small,sydney,low,high,javascript,89454.20120720599,yes,growth
cybersecurity analyst,technology,medium,paris,low,low,ux/ui design,84654.87771153946,yes,stable
ux designer,manufacturing,medium,paris,low,high,communication,97763.4051533598,yes,decline
cybersecurity analyst,education,small,singapore,medium,high,sales,90774.54040739224,yes,decline
ux designer,manufacturing,medium,new york,medium,medium,python,63245.81152164402,no,growth
hr manager,education,small,tokyo,low,medium,project management,94786.61600794963,yes,stable
software engineer,education,large,berlin,low,medium,project management,63064.75182472472,no,growth
operations manager,transportation,large,dubai,low,medium,communication,97489.6129281689,yes,stable
ai researcher,retail,medium,new york,medium,medium,javascript,74057.14551186866,no,stable
ux designer,energy,small,singapore,low,high,sales,90737.49608372692,no,stable
cybersecurity analyst,transportation,small,sydney,low,high,marketing,97811.87812398472,yes,stable
operations manager,entertainment,medium,berlin,low,low,communication,139078.06691887142,yes,decline
marketing specialist,transportation,large,singapore,high,high,javascript,104854.99923573848,no,stable
marketing specialist,finance,medium,tokyo,low,high,sales,117295.97619484668,no,stable
data scientist,finance,large,tokyo,high,medium,python,127434.9563738785,yes,growth
ai researcher,energy,small,tokyo,high,high,cybersecurity,99785.1183399889,no,growth
hr manager,manufacturing,large,new york,low,medium,marketing,95713.796005344,no,decline
cybersecurity analyst,retail,medium,new york,high,low,ux/ui design,68665.57782347569,no,growth
software engineer,energy,small,dubai,low,low,project management,87667.40135199211,yes,stable
software engineer,education,medium,dubai,medium,high,data analysis,75538.24540728275,no,growth
cybersecurity analyst,healthcare,medium,sydney,medium,low,python,81978.82299751228,no,decline
product manager,retail,large,berlin,medium,high,project management,127413.26752384935,no,growth
hr manager,retail,medium,san francisco,medium,low,machine learning,92292.4301839998,yes,growth
operations manager,education,large,san francisco,high,medium,data analysis,72482.00844567783,yes,decline
ux designer,education,small,singapore,low,medium,project management,117490.66909382609,no,decline
product manager,technology,large,tokyo,low,medium,javascript,109105.50952474898,yes,stable
ux designer,energy,small,berlin,low,medium,marketing,110153.06985200792,no,growth
ux designer,education,large,paris,medium,high,project management,49877.3959379521,yes,stable
product manager,finance,medium,new york,medium,low,ux/ui design,128973.41915442972,yes,growth
data scientist,entertainment,large,toronto,low,high,cybersecurity,78829.70515812226,no,growth
